0,99
1,177
2,310
3,408
4,521
5,622
6,644
7,662
8,764
9,859
10,954
11,1065
12,1083
13,1107
14,1187
15,1279
16,1385
17,1460
18,1483
19,1569
20,1638
21,1651
22,1662
23,1695
24,1799
25,1908
26,2002
27,2063
28,2076
29,2153
30,2172
31,2188
32,2272
33,2305
34,2318
35,2346
36,2394
37,2472
38,2496
39,2587
40,2667
41,2748
42,2806
43,2881
44,2891
45,2944
46,2998
47,3030
48,3136
49,3146
50,3252
51,3317
52,3424
53,3496
54,3583
55,3737
56,3810
57,3909
58,4002
59,4083
60,4158
61,4232
62,4309
63,4328
64,4387
65,4482
66,4571
67,4681
68,4768
69,4865
70,4953
71,5002
72,5068
73,5084
74,5097
75,5109
76,5186
77,5301
78,5429
79,5502
80,5636
81,5715
82,5875
83,5940
84,5963
85,6044
86,6064
87,6154
88,6235
89,6302
90,6414
91,6432
92,6466
93,6510
94,6615
95,6649
96,6661
97,6687
98,6714
99,6844
100,6960
101,7074
102,7104
103,7285
104,7306
105,7409
106,7478
107,7503
108,7613
109,7703
110,7807
111,7992
112,8073
113,8146
114,8249
115,8335
116,8353
117,8425
118,8512
119,8547
120,8561
121,8664
122,8687
123,8705
124,8723
125,8847
126,8887
127,8975
128,9006
129,9072
130,9095
131,9124
132,9194
133,9263
134,9344
135,9459
136,9617
137,9634
138,9652
139,9897
140,9912
141,10019
142,10061
143,10149
144,10217
145,10228
146,10307
147,10346
148,10422
149,10553
150,10622
151,10760
152,10812
153,10834
154,10937
155,10950
156,11013
157,11098
158,11112
159,11227
160,11309
161,11380
162,11404
163,11423
164,11449
165,11484
166,11590
167,11662
168,11745
169,11805
170,11888
171,11912
172,11988
173,12070
174,12135
175,12164
176,12324
177,12468
178,12560
179,12592
180,12625
181,12648
182,12757
183,12874
184,12906
185,12997
186,13093
187,13200
188,13237
189,13324
190,13336
191,13355
192,13376
193,13407
194,13433
195,13521
196,13619
197,13687
198,13787
199,13890
200,13990
201,14050
202,14159
203,14214
204,14238
205,14254
206,14396
207,14437
208,14487
209,14514
210,14599
211,14626
212,14691
213,14779
214,14803
215,14940
216,15024
217,15039
218,15054
219,15077
220,15187
221,15204
222,15266
223,15301
224,15411
225,15511
226,15541
227,15563
228,15600
229,15693
230,15768
231,15849
232,15964
233,15994
234,16073
235,16203
236,16263
237,16379
238,16418
239,16433
240,16447
241,16480
242,16548
243,16576
244,16609
245,16707
246,16797
247,16890
248,17011
249,17106
250,17197
251,17217
252,17336
253,17412
254,17431
255,17501
256,17615
257,17631
258,17643
259,17662
260,17685
261,17704
262,17753
263,17781
264,17801
265,17870
266,17933
267,18016
268,18076
269,18091
270,18206
271,18243
272,18344
273,18521
274,18594
275,18670
276,18703
277,18813
278,18832
279,18860
280,18874
281,18894
282,19018
283,19048
284,19077
285,19151
286,19189
287,19207
288,19228
289,19255
290,19342
291,19377
292,19410
293,19479
294,19599
295,19618
296,19686
297,19788
298,19896
299,19910
300,19996
301,20017
302,20084
303,20182
304,20220
305,20329
306,20402
307,20428
308,20489
309,20498
310,20538
311,20618
312,20637
313,20723
314,20818
315,20829
316,20870
317,20938
318,20958
319,21074
320,21090
321,21171
322,21248
323,21331
324,21351
325,21412
326,21448
327,21469
328,21544
329,21623
330,21657
331,21738
332,21836
333,21926
334,22012
335,22086
336,22107
337,22130
338,22253
339,22320
340,22440
341,22464
342,22526
343,22716
344,22749
345,22787
346,22820
347,22878
348,23002
349,23074
350,23088
351,23180
